id	partner_id	acciones	ncontractes	npolizas_pagador	npolizas_titular	npolizas_socio	consumannual	maxconsumannual	polizas	tarifas	bool
19623	38196	10	1	1	0	0	2400	2400	53615	2.0DHA	True
19657	38273	5	2	1	0	1	4044	2650	53737,66611	2.0DHA,2.0A	True
19681	38352	4	1	1	0	0	1800	1800	53840	2.0A	True
19683	38360	5	1	1	0	0	1296	1296	54153	2.0A	True
19694	38390	2	1	0	0	1	1000	1000	53958	2.0A	True
19697	38399	1	1	1	0	0	3840	3840	53918	2.0DHA	True
19711	38430	1	1	1	0	0	957	957	53964	2.0A	True
19720	38450	5	1	1	0	0	1435	1435	53988	2.0A	True
19734	38471	3	1	1	0	0	2165	2165	54032	2.0A	True
19757	38519	20	1	1	0	0	5374	5374	54137	2.0A	True
19767	38557	20	1	1	0	0	4500	4500	54189	2.0DHA	True
19800	38620	10	1	1	0	0	2400	2400	54292	2.0A	True
19809	38642	1	1	1	0	0	469	469	54330	2.0A	True
19842	38711	8	1	1	0	0	1800	1800	54524	2.0A	True
19859	38741	12	1	1	0	0	2880	2880	54526	2.0DHA	True
19892	38809	13	1	1	0	0	12000	12000	54724	2.0A	True
19900	38825	27	2	2	0	0	6567	6000	55019,55023	2.0A,2.0A	True
19920	38860	3	1	0	0	1	1500	1500	56353	2.0DHA	True
19966	38960	3	1	1	0	0	2375	2375	60653	2.0A	True
19996	39033	9	1	1	0	0	2400	2400	54993	2.0DHA	True
20004	39047	5	1	1	0	0	1479	1479	55027	2.0A	True
20005	39050	11	2	2	0	0	4300	2300	55033,55035	2.0A,2.0A	True
20020	39101	3	1	1	0	0	3600	3600	56571	2.0A	True
20031	39126	11	1	1	0	0	2042	2042	55384	2.0A	True
20042	39158	2	1	1	0	0	2546	2546	55306	2.0A	True
20046	39169	12	1	1	0	0	2861	2861	55200	2.0A	True
20067	39246	10	1	1	0	0	2008	2008	55304	2.0A	True
20069	39249	5	1	1	0	0	3840	3840	55599	2.0A	True
20100	39329	20	1	1	0	0	6639	6639	55450	2.0DHA	True
20139	39390	4	1	1	0	0	1800	1800	55549	2.0A	True
20149	39418	20	1	1	0	0	2240	2240	65369	2.0A	True
20152	39427	10	0	0	0	0	None	None	None	None	True
20176	39480	12	1	1	0	0	2400	2400	55678	2.0A	True
20177	39481	4	1	1	0	0	1000	1000	55676	2.0A	True
20189	39507	1	1	1	0	0	3000	3000	55738	2.0A	True
20207	39551	1	1	1	0	0	1400	1400	55788	2.0A	True
20213	39557	3	1	1	0	0	500	500	55800	2.0A	True
20216	39568	10	3	1	0	2	4902	1922	55822,61482,55824	2.0A,2.0DHA,2.0DHA	True
20222	39582	5	0	0	0	0	None	None	None	None	True
20225	39591	1	1	1	0	0	2400	2400	55850	2.0A	True
20231	39603	11	1	1	0	0	3149	3149	56780	2.0A	True
20252	39655	3	1	1	0	0	4507	4507	55948	2.0A	True
20261	39673	12	1	1	0	0	3100	3100	55984	2.0A	True
20291	39732	4	5	2	0	3	9070	2400	67309,72976,67546,66041,69609	2.0A,2.0A,2.0A,2.0A,2.0A	True
20310	39795	9	1	1	0	0	2356	2356	64595	2.0A	True
20341	39856	10	1	1	0	0	9480	9480	24581	2.1DHA	True
20351	39874	9	1	1	0	0	2400	2400	56419	2.0A	True
20352	39876	12	1	1	0	0	2200	2200	56329	2.0A	True
20360	39892	6	2	1	0	1	5420	3170	56365,64324	2.0A,2.0A	True
20385	39948	5	1	1	0	0	3500	3500	56457	2.0A	True
20398	39976	10	1	1	0	0	2168	2168	56893	2.0A	True
20409	40002	2	1	1	0	0	2400	2400	56603	2.0A	True
20414	40019	5	1	1	0	0	908	908	56575	2.0A	True
20471	40155	10	0	0	0	0	None	None	None	None	True
20531	40300	12	2	1	0	1	7602	4500	70717,57027	2.0A,2.0A	True
20572	40371	9	1	1	0	0	2100	2100	57125	2.0A	True
20597	40412	5	1	1	0	0	1307	1307	57265	2.0A	True
20604	40421	10	1	0	0	1	3713	3713	57257	2.0A	True
20627	40464	1	0	0	0	0	None	None	None	None	True
20644	40506	4	1	1	0	0	1800	1800	62338	2.0A	True
20673	40574	6	2	1	0	1	2082	1800	59671,74500	2.0A,2.0A	True
20714	40655	1	0	0	0	0	None	None	None	None	True
20723	40672	10	1	1	0	0	2880	2880	57590	2.0A	True
20739	40703	5	1	0	0	1	3546	3546	63467	2.0A	True
20747	40719	3	1	1	0	0	2400	2400	57682	2.0A	True
20770	40783	25	1	1	0	0	8668	8668	57746	2.0DHA	True
20793	40835	1	1	1	0	0	168	168	58020	2.0A	True
20871	41018	3	1	1	0	0	911	911	58129	2.0A	True
20935	41138	5	1	1	0	0	35000	35000	58392	2.0A	True
20965	41188	15	1	1	0	0	1944	1944	58446	2.1A	True
21046	41408	15	1	1	0	0	2400	2400	61414	2.0A	True
21066	41448	2	1	1	0	0	1800	1800	58828	2.0A	True
21079	41478	3	8	3	0	5	13595	3365	58882,61871,61799,61877,58884,61869,61873,58888	2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0DHA	True
21114	41543	15	1	1	0	0	2880	2880	59048	2.0A	True
21122	41556	2	1	1	0	0	4564	4564	59765	2.0A	True
21176	41638	2	0	0	0	0	None	None	None	None	True
21276	41794	12	2	1	0	1	5280	2880	59970,59338	2.0DHA,2.0DHA	True
21286	41818	3	1	1	0	0	1800	1800	60426	2.0A	True
21322	41895	1	2	2	0	0	4000	2500	59497,59505	2.0A,2.0A	True
21362	42009	3	1	0	0	1	2880	2880	59787	2.0A	True
21376	42023	1	2	1	0	1	2288	1800	59854,59850	2.0A,2.0A	True
